Lat,Lon,Title,city,cumulative_detainees,cumulative_detainees_per_1000000
56.3947309,38.712037,Alexandrov,Александров,1,17.521419935871602
NA,NA,NA,Анапа,1,NA
67.56711,33.39107,Apatity,Апатиты,3,55.71341021783943
56.09103,49.88021,ARSK,Арск,1,NA
64.54585,40.55058,Arkhangelsk,Архангельск,27,78.27743261617675
46.3586,48.05695,Astrakhan,Астрахань,6,11.442280370195911
NA,NA,NA,Балаково,1,NA
53.34975,83.78357,Barnaul,Барнаул,10,15.844746832635108
50.59971,36.59826,Belgorod,Белгород,10,25.52961179672302
NA,NA,NA,Березники,1,NA
NA,NA,NA,Боровск,1,NA
53.26353,34.41611,Bryansk,Брянск,2,5.005268044616959
56.33961,30.53148,Great Luki,Великие Луки,1,NA
58.52557,31.27419,Velikiy Novgorod,Великий Новгород,15,66.66103751238784
43.13325,131.9113,Vladivostok,Владивосток,41,68.23427990367317
NA,NA,NA,Владикавказ,1,NA
56.1428,40.38958,Vladimir,Владимир,18,51.08600328653288
48.70805,44.5133,Volgograd,Волгоград,69,68.67291092526298
59.21807,39.89781,Vologda,Вологда,4,12.964703594464071
51.66835,39.19193,Voronezh,Воронеж,44,41.880750274604466
NA,NA,NA,Выкса,1,NA
NA,NA,NA,Георгиевск,1,NA
NA,NA,NA,Гусь-Хрустальный,1,NA
45.70899,34.38748,Janka,Джанкой,1,NA
NA,NA,NA,Дзержинский,1,NA
55.44302,37.74782,Domodedovo,Домодедово,1,7.403568520026653
56.73202,37.1669,Dubna,Дубна,10,134.2299896642908
56.8431,60.64541,Yekaterinburg,Екатеринбург,337,225.4081090734456
NA,NA,NA,Ефремов,1,NA
56.58376,104.1149,Zheleznogorsk-Ilimsky,Железногорск-Илимский,2,NA
55.59749,38.11326,Zhukovsky,Жуковский,1,9.2973093586716
56.26026,93.53563,But Zheleznogorsk Krasnoyarsk Territory,ЗАТО г. Железногорск Красноярский край,1,NA
NA,NA,NA,Заречный,1,NA
NA,NA,NA,Звенигород,2,NA
57.00507,40.97665,Ivanovo,Иваново,35,87.1720152924621
56.86186,53.23243,Izhevsk,Ижевск,12,18.562403707530766
NA,NA,NA,Иланский,1,NA
52.28548,104.289,Irkutsk,Иркутск,113,182.99150627919968
55.91418,36.85967,Istra,Истра,3,NA
56.6418,47.88958,Yoshkar-Ola,Йошкар-Ола,15,54.31732179392008
55.78789,49.12333,Kazan,Казань,120,95.43950288744263
54.71043,20.45221,Kaliningrad,Калининград,56,113.53131031350861
54.51359,36.26368,Kaluga,Калуга,12,36.16178783879075
