city,city_en,city_pop,city_lat,city_lon,cumulative_detainees,cumulative_detainees_per_1000000
Александров,Alexandrov,57073,56.3947309,38.712037,1,17.521419935871602
Анапа,NA,NA,NA,NA,1,NA
Апатиты,Apatity,53847,67.56711,33.39107,3,55.71341021783943
Арск,ARSK,NA,56.09103,49.88021,1,NA
Архангельск,Arkhangelsk,344927,64.54585,40.55058,27,78.27743261617675
Астрахань,Astrakhan,524371,46.3586,48.05695,6,11.442280370195911
Балаково,NA,NA,NA,NA,1,NA
Барнаул,Barnaul,631124,53.34975,83.78357,9,14.260272149371596
Белгород,Belgorod,391702,50.59971,36.59826,9,22.97665061705072
Брянск,Bryansk,399579,53.26353,34.41611,2,5.005268044616959
Великие Луки,Great Luki,NA,56.33961,30.53148,1,NA
Великий Новгород,Velikiy Novgorod,225019,58.52557,31.27419,14,62.21696834489532
Владивосток,Vladivostok,600871,43.13325,131.9113,33,54.92027406881011
Владикавказ,NA,NA,NA,NA,1,NA
Владимир,Vladimir,352347,56.1428,40.38958,18,51.08600328653288
Волгоград,Volgograd,1004763,48.70805,44.5133,59,58.72031513899298
Вологда,Vologda,308530,59.21807,39.89781,4,12.964703594464071
Воронеж,Voronezh,1050602,51.66835,39.19193,45,42.83258550811821
Георгиевск,NA,NA,NA,NA,1,NA
Гусь-Хрустальный,NA,NA,NA,NA,1,NA
Джанкой,Janka,NA,45.70899,34.38748,1,NA
Дзержинский,NA,NA,NA,NA,1,NA
Домодедово,Domodedovo,135070,55.44302,37.74782,1,7.403568520026653
Дубна,Dubna,74499,56.73202,37.1669,10,134.2299896642908
Екатеринбург,Yekaterinburg,1495066,56.8431,60.64541,248,165.87896454069588
Ефремов,NA,NA,NA,NA,1,NA
Железногорск-Илимский,Zheleznogorsk-Ilimsky,NA,56.58376,104.1149,2,NA
Жуковский,Zhukovsky,107558,55.59749,38.11326,1,9.2973093586716
ЗАТО г. Железногорск Красноярский край,But Zheleznogorsk Krasnoyarsk Territory,NA,56.26026,93.53563,1,NA
Заречный,NA,NA,NA,NA,1,NA
Звенигород,NA,NA,NA,NA,2,NA
Иваново,Ivanovo,401505,57.00507,40.97665,28,69.73761223396968
Ижевск,Izhevsk,646468,56.86186,53.23243,3,4.6406009268826915
Иланский,NA,NA,NA,NA,1,NA
Иркутск,Irkutsk,617515,52.28548,104.289,82,132.79029659198562
Истра,Istra,NA,55.91418,36.85967,3,NA
Йошкар-Ола,Yoshkar-Ola,276155,56.6418,47.88958,1,3.621154786261339
Казань,Kazan,1257341,55.78789,49.12333,126,100.21147803181475
Калининград,Kaliningrad,493256,54.71043,20.45221,52,105.42193100540085
Калуга,Kaluga,331842,54.51359,36.26368,12,36.16178783879075
Кемерово,Kemerovo,552546,55.34433,86.06209,5,9.049020353056576
Кимры,NA,NA,NA,NA,1,NA
Киров,Kirov,521091,58.603,49.66794,5,9.595253036417823
Коломна,Kolomna,138693,55.09375,38.76886,1,7.210169222671656
Колпино,Kolpino,NA,59.76176,30.5789,1,NA
Комсомольск-на-Амуре,NA,NA,NA,NA,1,NA
Кострома,Kostroma,277393,57.76771,40.92626,10,36.0499363718623
Краснодар,Krasnodar,948827,45.03604,38.97457,129,135.95734522731752
Красное Село,NA,NA,NA,NA,1,NA
Красноярск,Krasnoyarsk,1092851,56.01528,92.89325,74,67.71279890854288
Курган,Kurgan,309285,55.45905,65.34932,10,32.33263818161243
Курск,Kursk,450977,51.74824,36.1947,3,6.652223949336663
Липецк,NA,NA,NA,NA,9,NA
Лодейное Поле,Lodeynoye Field,NA,60.73431,33.54313,1,NA
Лыткарино,Lytkarino,59937,55.57954,37.91204,2,33.3683701219614
Люберцы,Lyubertsy,208397,55.68081,37.88873,3,14.395600704424728
Магнитогорск,Magnitogorsk,413251,53.39272,59.06231,4,9.679347418397052
Махачкала,Makhachkala,604266,42.97779,47.51469,1,1.654900325353404
Мегион,Megion,NA,61.02862,76.11052,1,NA
Миасс,NA,NA,NA,NA,4,NA
Москва,Moscow,12655050,55.75583,37.6173,6194,489.448876140355
Мурино,Murino,78184,60.04536,30.44899,5,63.951703673385865
Мурманск,Murmansk,282851,68.97331,33.08558,5,17.677151574503892
Мытищи,NA,NA,NA,NA,1,NA
Набережные Челны,Naberezhnye Chelny,532074,55.73057,52.38929,7,13.156064757909613
Нальчик,Nalchik,239054,43.4846,43.60701,2,8.36631054071465
Нижний Новгород,Nizhny Novgorod,1244254,56.32687,44.00588,182,146.27238489890328
Нижний Тагил,Nizhny Tagil,344656,57.92149,59.98162,1,2.901443758414187
Новозыбков,NA,NA,NA,NA,1,NA
Новокузнецк,NA,NA,NA,NA,1,NA
Новороссийск,Novorossiysk,275795,44.71805,37.77701,1,3.625881542450008
Новосибирск,Novosibirsk,1620162,54.98327,82.89638,365,225.28611336397222
