city,district,date,city_detainees,district_detainees
Москва,ОМВД России по району Таганский г. Москвы,2022-02-24,1081,15
Москва,ОМВД России по району Котловка г. Москвы,2022-02-24,1081,13
Москва,ОМВД России по району Черемушки г. Москвы,2022-02-24,1081,18
Москва,ОМВД Медведково Южное,2022-02-24,1081,19
Москва,ОМВД России по Обручевскому району г. Москвы,2022-02-24,1081,23
Москва,ОМВД России по району Чертаново Центральное г. Москвы,2022-02-24,1081,9
Москва,ОМВД России по району Братеево г. Москвы,2022-02-24,1081,11
Москва,Отдел МВД России по Мещанскому району г. Москвы,2022-02-24,1081,13
Москва,Отдел МВД России по району Люблино,2022-02-24,1081,6
Москва,ОМВД Бабушкинский,2022-02-24,1081,33
Москва,Отдел МВД России по району Китай-город г. Москвы,2022-02-24,1081,14
Москва,Отдел МВД России по району Замоскворечье г. Москвы,2022-02-24,1081,2
Москва,ОМВД России по району Дегунино Западное г. Москвы,2022-02-24,1081,22
Москва,ОМВД России по району Чертаново Северное г. Москвы,2022-02-24,1081,8
Москва,ОМВД России по району Фили-Давыдково г. Москвы,2022-02-24,1081,19
Москва,ОМВД России по району Нагатино-Садовники г. Москвы,2022-02-24,1081,22
Москва,Отдел МВД России по району Измайлово г. Москвы,2022-02-24,1081,4
Москва,ОМВД Бибирево,2022-02-24,1081,15
Москва,Отдел МВД России по району Южное Тушино г. Москвы,2022-02-24,1081,26
Москва,ОМВД России по району Крюково г. Москвы,2022-02-24,1081,14
Москва,Отдел МВД России по району Капотня,2022-02-24,1081,23
Москва,ОМВД России по району Сокольники г. Москвы,2022-02-24,1081,18
Москва,Отдел МВД России по району Ново-Переделкино г. Москвы,2022-02-24,1081,15
Москва,ОМВД России по району Хамовники г. Москвы,2022-02-24,1081,8
Москва,ОМВД России по району Тверской г. Москвы,2022-02-24,1081,14
Москва,Участковый пункт полиции № 4 по Академческому району,2022-02-24,1081,4
Москва,ОМВД Медведково Северное,2022-02-24,1081,24
Москва,Отдел МВД России по району Лефортово,2022-02-24,1081,10
Москва,Отдел МВД России по району Ивановское г. Москвы,2022-02-24,1081,24
Москва,ОМВД России по Пресненскому району г. Москвы,2022-02-24,1081,4
Москва,Отдел МВД России по району Строгино г. Москвы,2022-02-24,1081,10
Москва,ОМВД России по району Аэропорт,2022-02-24,1081,22
Москва,Отдел МВД России по району Новогиреево г. Москвы,2022-02-24,1081,21
Москва,Отдел МВД России по району Басманный г. Москвы,2022-02-24,1081,19
Москва,Отдел МВД России по району Хорошево-Мневники г. Москвы,2022-02-24,1081,27
Москва,ОМВД Отрадное,2022-02-24,1081,13
Москва,ОМВД России по району Бутово Южное г. Москвы,2022-02-24,1081,18
Москва,Отдел МВД России по району Покровское-Стрешнево г. Москвы,2022-02-24,1081,25
Москва,ОМВД России по району Дегунино Восточное г. Москвы,2022-02-24,1081,11
Москва,Отдел полиции № 1 МУ МВД «Орехово-Зуевское»,2022-02-24,1081,1
Москва,ОМВД России по району Хамовники г. Москвы,2022-02-25,235,3
Москва,ОМВД Марьина Роща,2022-02-25,235,20
Москва,ОМВД России по Пресненскому району г. Москвы,2022-02-25,235,11
Москва,ОМВД России по району Бескудниково,2022-02-25,235,1
Москва,ОМВД России по району Тверской г. Москвы,2022-02-25,235,22
Москва,ОМВД России по району Таганский г. Москвы,2022-02-25,235,10
Москва,ОМВД России по району Тропарево-Никулино г. Москва,2022-02-25,235,8
Москва,Отдел МВД России по району Китай-город г. Москвы,2022-02-25,235,4
Москва,Отдел МВД России по району Арбат г. Москвы,2022-02-25,235,7
Москва,Отдел МВД России по Мещанскому району г. Москвы,2022-02-25,235,4
Москва,ОМВД России по Ломоносовскому району г. Москвы,2022-02-25,235,15
Москва,ОМВД Медведково Северное,2022-02-25,235,2
Москва,Отдел МВД России по району Дорогомилово г. Москвы,2022-02-25,235,1
Москва,ОМВД России по району Якиманка г. Москвы,2022-02-25,235,3
Москва,ОМВД Ростокино,2022-02-25,235,9
Москва,ОМВД Отрадное,2022-02-25,235,2
Москва,ОМВД России по району Сокол г. Москвы,2022-02-25,235,4
Москва,ОМВД России по Даниловскому району г. Москвы,2022-02-25,235,2
Москва,ОМВД России по району Академический г. Москвы,2022-02-25,235,19
Москва,ОМВД России по району Тимирязевский г. Москвы,2022-02-25,235,2
Москва,ОМВД России по району Ховрино г. Москвы,2022-02-25,235,1
Москва,ОМВД России по району Хорошевский г. Москвы,2022-02-25,235,13
Москва,Отдел МВД России по Рязанскому району,2022-02-25,235,16
Москва,МО МВД России «Троицкий» г. Москвы,2022-02-25,235,2
Москва,ОМВД России по району Соколиная Гора г. Москвы,2022-02-25,235,15
Москва,ОМВД России по району Чертаново Центральное г. Москвы,2022-02-25,235,1
Москва,Хорошево-Мневники (новое здание),2022-02-25,235,1
Москва,ОМВД России по району Чертаново Южное г. Москвы,2022-02-25,235,17
Москва,ОМВД России по району Орехово-Борисово Северное г. Москвы,2022-02-25,235,1
Москва,Отдел МВД по Ступинскому району,2022-02-25,235,1
Москва,Лужники (отдел полиции по охране с/к),2022-02-25,235,3
Москва,Отдел МВД России по Южнопортовому району,2022-02-25,235,5
Москва,Отдел МВД России по району Марьино,2022-02-25,235,1
Москва,"Задержаны, но пока неизвестно, в каких отделах находятся: 10",2022-02-25,235,10
Санкт-Петербург,Отдел полиции № 86 Приморского района г. Санкт-Петербурга,2022-02-25,126,4
Санкт-Петербург,Отдел полиции № 12 Фрунзенского района г. Санкт-Петербурга,2022-02-25,126,10
Санкт-Петербург,Отдел полиции № 59 Выборгского района г. Санкт-Петербурга,2022-02-25,126,1
Санкт-Петербург,Отдел полиции № 3 Калининского района г. Санкт-Петербурга,2022-02-25,126,23
Санкт-Петербург,Отдел полиции № 18 Петроградского района г. Санкт-Петербурга,2022-02-25,126,18
Санкт-Петербург,Отдел полиции № 25 Приморского района г. Санкт-Петербурга,2022-02-25,126,3
Санкт-Петербург,Отдел МВД по Кронштадтскому району г. Санкт-Петербурга,2022-02-25,126,20
Санкт-Петербург,Отдел полиции № 21 Калининского района г. Санкт-Петербурга,2022-02-25,126,1
Санкт-Петербург,Отдел полиции № 70 Невского района г. Санкт-Петербурга,2022-02-25,126,2
Санкт-Петербург,Отдел полиции № 76 Центрального района г. Санкт-Петербурга,2022-02-25,126,1
Санкт-Петербург,Отдел полиции № 35 Приморского района г. Санкт-Петербурга,2022-02-25,126,18
Санкт-Петербург,Отдел полиции № 6 Калининского района г. Санкт-Петербурга,2022-02-25,126,7
Санкт-Петербург,Отдел полиции № 5 Фрунзенского района г. Санкт-Петербурга,2022-02-25,126,1
Санкт-Петербург,"Задержаны, но пока неизвестно, в каких отделах находятся: 8",2022-02-25,126,8
Екатеринбург,Отдел полиции № 7 УМВД по городу Екатеринбургу,2022-02-25,69,22
Екатеринбург,Отдел полиции № 1 УМВД по городу Екатеринбургу,2022-02-25,69,11
Екатеринбург,Отдел полиции № 12 УМВД по городу Екатеринбургу,2022-02-25,69,10
Екатеринбург,Отдел полиции № 3 УМВД по городу Екатеринбургу,2022-02-25,69,1
Екатеринбург,Отдел полиции № 9 УМВД по городу Екатеринбургу,2022-02-25,69,6
Екатеринбург,"Задержаны, но пока неизвестно, в каких отделах находятся: 9",2022-02-25,69,9
Новосибирск,Отдел полиции № 10 «Советский»,2022-02-25,13,1
Новосибирск,Отдел полиции № 1 «Центральный»,2022-02-25,13,6
Новосибирск,Отдел полиции № 6 «Октябрьский»,2022-02-25,13,5
Новосибирск,"Задержаны, но пока неизвестно, в каких отделах находятся: 1",2022-02-25,13,1
Иваново,Отдел полиции № 2 «Октябрьский,2022-02-25,13,7
Иваново,Отдел полиции № 4 «Фрунзенский»,2022-02-25,13,2
