city,district,date,city_detainees,district_detainees,district_en,location,lat,lon,city_lon,city_lat,city_en
Москва,ОМВД России по району Таганский г. Москвы,2022-02-24,1082,15,OMVD of Russia for the Tagansky district of Moscow,ОМВД России по району Таганский г. Москвы,55.73482,37.68153,37.6173,55.75583,Moscow
Москва,ОМВД России по району Котловка г. Москвы,2022-02-24,1082,13,OMVD of Russia in the district Kotlovka Moscow,ОМВД России по району Котловка г. Москвы,55.68162,37.60881,37.6173,55.75583,Moscow
Москва,ОМВД России по району Черемушки г. Москвы,2022-02-24,1082,18,OMVD of Russia in the district of Cheryomushki in Moscow,ОМВД России по району Черемушки г. Москвы,55.66419,37.56408,37.6173,55.75583,Moscow
Москва,ОМВД Медведково Южное,2022-02-24,1082,19,OmVD Medvedkovo South,"ОМВД Медведково Южное, Москва",55.87144,37.66158,37.6173,55.75583,Moscow
Москва,ОМВД России по Обручевскому району г. Москвы,2022-02-24,1082,23,OMVD of Russia in the Obruchevsky district of Moscow,ОМВД России по Обручевскому району г. Москвы,55.65618,37.54413,37.6173,55.75583,Moscow
Москва,ОМВД России по району Чертаново Центральное г. Москвы,2022-02-24,1082,9,OMVD of Russia in the area of ​​Chertanovo Central Moscow,ОМВД России по району Чертаново Центральное г. Москвы,55.6187,37.59461,37.6173,55.75583,Moscow
Москва,ОМВД России по району Братеево г. Москвы,2022-02-24,1082,11,OMVD of Russia in the district of Brateevo Moscow,ОМВД России по району Братеево г. Москвы,55.63536,37.77109,37.6173,55.75583,Moscow
Москва,Отдел МВД России по Мещанскому району г. Москвы,2022-02-24,1082,13,Department of the Ministry of Internal Affairs of Russia in the Meshchansky district of Moscow,Отдел МВД России по Мещанскому району г. Москвы,55.7685,37.63139,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Люблино,2022-02-24,1082,6,Department of the Ministry of Internal Affairs of Russia in the area of ​​Lublino,"Отдел МВД России по району Люблино, Москва",55.66987,37.75103,37.6173,55.75583,Moscow
Москва,ОМВД Бабушкинский,2022-02-24,1082,33,OMVD Babushkin,"ОМВД Бабушкинский, Москва",55.87144,37.66158,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Китай-город г. Москвы,2022-02-24,1082,14,Department of the Ministry of Internal Affairs of Russia in the district of China-city of Moscow,Отдел МВД России по району Китай-город г. Москвы,55.7685,37.63139,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Замоскворечье г. Москвы,2022-02-24,1082,2,Department of the Ministry of Internal Affairs of Russia in the area of ​​Zamoskvorechye Moscow,Отдел МВД России по району Замоскворечье г. Москвы,55.73642,37.62877,37.6173,55.75583,Moscow
Москва,ОМВД России по району Дегунино Западное г. Москвы,2022-02-24,1082,23,OMVD of Russia in the District of Degunino Western Moscow,ОМВД России по району Дегунино Западное г. Москвы,55.86921,37.51319,37.6173,55.75583,Moscow
Москва,ОМВД России по району Чертаново Северное г. Москвы,2022-02-24,1082,8,OMVD of Russia in the region of Chertanovo North Moscow,ОМВД России по району Чертаново Северное г. Москвы,55.62478,37.60313,37.6173,55.75583,Moscow
Москва,ОМВД России по району Фили-Давыдково г. Москвы,2022-02-24,1082,19,OMVD of Russia in the district of Fili-Davydkovo G. Moscow,ОМВД России по району Фили-Давыдково г. Москвы,55.74648,37.4272,37.6173,55.75583,Moscow
