city,district,location,lat,lon
Москва,ОМВД России по району Таганский г. Москвы,ОМВД России по району Таганский г. Москвы,55.73482,37.68153
Москва,ОМВД России по району Таганский г. Москвы,ОМВД России по району Таганский г. Москвы,55.73482,37.68153
Москва,ОМВД России по району Котловка г. Москвы,ОМВД России по району Котловка г. Москвы,55.68162,37.60881
Москва,ОМВД России по району Черемушки г. Москвы,ОМВД России по району Черемушки г. Москвы,55.66419,37.56408
Москва,ОМВД Медведково Южное,"ОМВД Медведково Южное, Москва",55.87144,37.66158
Москва,ОМВД России по Обручевскому району г. Москвы,ОМВД России по Обручевскому району г. Москвы,55.65618,37.54413
Москва,ОМВД России по району Чертаново Центральное г. Москвы,ОМВД России по району Чертаново Центральное г. Москвы,55.6187,37.59461
Москва,ОМВД России по району Братеево г. Москвы,ОМВД России по району Братеево г. Москвы,55.63536,37.77109
Москва,Отдел МВД России по Мещанскому району г. Москвы,Отдел МВД России по Мещанскому району г. Москвы,55.7685,37.63139
Москва,Отдел МВД России по району Люблино,"Отдел МВД России по району Люблино, Москва",55.66987,37.75103
Москва,ОМВД Бабушкинский,"ОМВД Бабушкинский, Москва",55.87144,37.66158
Москва,Отдел МВД России по району Китай-город г. Москвы,Отдел МВД России по району Китай-город г. Москвы,55.7685,37.63139
Москва,Отдел МВД России по району Замоскворечье г. Москвы,Отдел МВД России по району Замоскворечье г. Москвы,55.73642,37.62877
Москва,ОМВД России по району Дегунино Западное г. Москвы,ОМВД России по району Дегунино Западное г. Москвы,55.86921,37.51319
Москва,ОМВД России по району Чертаново Северное г. Москвы,ОМВД России по району Чертаново Северное г. Москвы,55.62478,37.60313
Москва,ОМВД России по району Фили-Давыдково г. Москвы,ОМВД России по району Фили-Давыдково г. Москвы,55.74648,37.4272
Москва,ОМВД России по району Нагатино-Садовники г. Москвы,ОМВД России по району Нагатино-Садовники г. Москвы,55.65759,37.64008
Москва,Отдел МВД России по району Измайлово г. Москвы,Отдел МВД России по району Измайлово г. Москвы,55.79829,37.79737
Москва,ОМВД Бибирево,"ОМВД Бибирево, Москва",55.8945,37.60167
Москва,Отдел МВД России по району Южное Тушино г. Москвы,Отдел МВД России по району Южное Тушино г. Москвы,55.83939,37.4362
Москва,ОМВД России по району Крюково г. Москвы,ОМВД России по району Крюково г. Москвы,55.9776,37.15114
Москва,Отдел МВД России по району Капотня,"Отдел МВД России по району Капотня, Москва",55.63711,37.80428
Москва,ОМВД России по району Сокольники г. Москвы,ОМВД России по району Сокольники г. Москвы,55.78633,37.67562
Москва,Отдел МВД России по району Ново-Переделкино г. Москвы,Отдел МВД России по району Ново-Переделкино г. Москвы,55.63603,37.35475
Москва,ОМВД России по району Хамовники г. Москвы,ОМВД России по району Хамовники г. Москвы,55.72544,37.56238
Москва,ОМВД России по району Тверской г. Москвы,ОМВД России по району Тверской г. Москвы,55.76997,37.61325
Москва,Участковый пункт полиции № 4 по Академческому району,"Участковый пункт полиции № 4 по Академческому району, Москва",55.68946,37.57638
Москва,ОМВД Медведково Северное,"ОМВД Медведково Северное, Москва",55.88947,37.65488
Москва,Отдел МВД России по району Лефортово,"Отдел МВД России по району Лефортово, Москва",55.75797,37.68042
Москва,Отдел МВД России по району Ивановское г. Москвы,Отдел МВД России по району Ивановское г. Москвы,55.76183,37.83056
Москва,ОМВД России по Пресненскому району г. Москвы,ОМВД России по Пресненскому району г. Москвы,55.76062,37.5423
Москва,Отдел МВД России по району Строгино г. Москвы,Отдел МВД России по району Строгино г. Москвы,55.7949,37.39461
Москва,ОМВД России по району Аэропорт,"ОМВД России по району Аэропорт, Москва",55.80541,37.53761
Москва,Отдел МВД России по району Новогиреево г. Москвы,Отдел МВД России по району Новогиреево г. Москвы,55.74848,37.80502
Москва,Отдел МВД России по району Басманный г. Москвы,Отдел МВД России по району Басманный г. Москвы,55.76985,37.66676
Москва,Отдел МВД России по району Хорошево-Мневники г. Москвы,Отдел МВД России по району Хорошево-Мневники г. Москвы,55.79041,37.4642
Москва,ОМВД Отрадное,"ОМВД Отрадное, Москва",55.85799,37.61839
Москва,ОМВД России по району Бутово Южное г. Москвы,ОМВД России по району Бутово Южное г. Москвы,55.54416,37.54387
Москва,Отдел МВД России по району Покровское-Стрешнево г. Москвы,Отдел МВД России по району Покровское-Стрешнево г. Москвы,55.81755,37.44862
Москва,ОМВД России по району Дегунино Восточное г. Москвы,ОМВД России по району Дегунино Восточное г. Москвы,55.87035,37.56161
Москва,Отдел полиции № 1 МУ МВД «Орехово-Зуевское»,"Отдел полиции № 1 МУ МВД «Орехово-Зуевское», Москва",55.75626,37.60921
Москва,ОМВД Бутырский,"ОМВД Бутырский, Москва",55.8112,37.58936
Москва,Отдел МВД России по району Северное Тушино г. Москвы,Отдел МВД России по району Северное Тушино г. Москвы,55.86016,37.43437
Москва,ОМВД Лосиноостровский,"ОМВД Лосиноостровский, Москва",55.87377,37.68795
Москва,Отдел МВД России по району Арбат г. Москвы,Отдел МВД России по району Арбат г. Москвы,55.74781,37.58908
Москва,Отдел МВД России по району Кузьминки,"Отдел МВД России по району Кузьминки, Москва",55.69747,37.78293
Москва,ОМВД России по району Преображенское г. Москвы,ОМВД России по району Преображенское г. Москвы,55.7906,37.71015
Москва,ОМВД России по районам Матушкино и Савелки г. Москвы,ОМВД России по районам Матушкино и Савелки г. Москвы,56.01058,37.19716
Москва,ОМВД Ярославский,"ОМВД Ярославский, Москва",55.86023,37.68909
Москва,Отдел МВД России по району Измайлово Северное г. Москвы,Отдел МВД России по району Измайлово Северное г. Москвы,55.80705,37.78877
Москва,ОМВД России по Головинскому району,"ОМВД России по Головинскому району, Москва",55.85064,37.49928
Москва,Отдел МВД России по району Щукино г. Москвы,Отдел МВД России по району Щукино г. Москвы,55.81043,37.45483
Москва,Лужники (отдел полиции по охране с/к),"Лужники (отдел полиции по охране с/к), Москва",55.71947,37.55639
Москва,ОМВД России по Нагорному району г. Москвы,ОМВД России по Нагорному району г. Москвы,55.64461,37.60675
Москва,ОМВД России по району Перово г. Москвы,ОМВД России по району Перово г. Москвы,55.76334,37.78748
Москва,Отдел МВД России по району Выхино-Жулебино г. Москвы,Отдел МВД России по району Выхино-Жулебино г. Москвы,55.70563,37.80769
Москва,ОМВД России по району Бирюлёво Восточное г. Москвы,ОМВД России по району Бирюлёво Восточное г. Москвы,55.58268,37.69065
Москва,ОМВД России по району Коптево г. Москвы,ОМВД России по району Коптево г. Москвы,55.83427,37.52394
Москва,ОМВД России по району Бескудниково,"ОМВД России по району Бескудниково, Москва",55.87035,37.56161
Москва,МО МВД России «Щербинский» г. Москвы,МО МВД России «Щербинский» г. Москвы,55.50029,37.54198
